ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
29/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9,5.5, , ,1,1, , , 2014-03-31 07:51,0, , , ,
29/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9,5.5, , ,6,6, , , 2014-03-31 07:51,0, , , ,
30/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,6, , ,1,1, , , 2014-03-31 07:52,0, , , ,
30/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,6, , ,6,6, , , 2014-03-31 07:52,0, , , ,
31/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.5,6, , ,1,1, , , 2014-03-31 09:30,0, , , ,
31/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.5,6, , ,6,6, , , 2014-03-31 09:30,0, , , ,
01/04/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.5,6.5, , ,1,1, , , 2014-04-01 10:32,0, , , ,
01/04/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,7.5,6.5, , ,6,6, , , 2014-04-01 10:32,0, , , ,
02/04/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,6.5, , ,1,1, , , 2014-04-02 09:14,0, , , ,
02/04/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.5,6.5, , ,6,6, , , 2014-04-02 09:14,0, , , ,
03/04/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,6, , ,1,1, , , 2014-04-03 10:20,0, , , ,
03/04/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8,6, , ,6,6, , , 2014-04-03 10:20,0, , , ,
04/04/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9,6.5, , ,1,1, , , 2014-04-04 13:13,0, , , ,
04/04/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9,6.5, , ,6,6, , , 2014-04-04 13:13,0, , , ,
